29.12.2014;22:57:00;Monday;30.12.2014;07:30:00;100%;08:32:00;:);;59;0
30.12.2014;21:17:00;Tuesday;30.12.2014;21:33:00;3%;00:16;:|;Stressful day;72;0
30.12.2014;22:42:00;Wednesday;31.12.2014;07:13:00;98%;08:30;:|;;57;0
31.12.2014;22:31:00;Thursday;01.01.2015;06:03:00;65%;07:32;;;;0
01.01.2015;22:12:00;Friday;02.01.2015;04:56:00;72%;06:44;:);Drank coffee:Drank tea;68;0
03.01.2015;00:34:00;Saturday;03.01.2015;07:47:00;83%;07:12;:);Drank coffee:Drank tea;60;0
04.01.2015;00:23:00;Sunday;04.01.2015;07:37:00;78%;07:14;;Drank tea;;0
04.01.2015;21:34:00;Monday;05.01.2015;04:53:00;78%;07:18;:);Ate late:Drank coffee;57;0
05.01.2015;21:32:00;Tuesday;06.01.2015;05:00:00;69%;07:27;:);Drank coffee:Drank tea:Worked out;56;0
06.01.2015;21:24:00;Wednesday;07.01.2015;05:00:00;74%;07:35;:|;Drank tea:Worked out;64;0
07.01.2015;20:59:00;Thursday;08.01.2015;06:19:00;81%;09:19;:);Drank coffee:Drank tea:Stressful day;62;0
08.01.2015;22:58:00;Friday;09.01.2015;06:14:00;88%;07:16;:);Drank coffee:Drank tea;58;0
09.01.2015;22:27:00;Saturday;10.01.2015;07:29:00;77%;09:01;:|;Drank coffee:Drank tea;65;0
10.01.2015;22:38:00;Sunday;11.01.2015;07:28:00;89%;08:50;:|;Drank coffee:Drank tea;65;0
11.01.2015;22:12:00;Monday;12.01.2015;06:20:00;78%;08:08;:);Drank tea;53;0
12.01.2015;21:01:00;Tuesday;13.01.2015;06:13:00;100%;09:11;:);Drank tea:Worked out;65;0
13.01.2015;22:14:00;Wednesday;14.01.2015;06:20:00;100%;08:06;:);Drank coffee:Drank tea;55;0
14.01.2015;21:48:00;Thursday;15.01.2015;05:02:00;88%;07:13;:);Drank coffee:Drank tea:Worked out;60;0
15.01.2015;21:32:00;Friday;16.01.2015;04:54:00;87%;07:22;:);Drank tea;60;0
17.01.2015;02:11:00;Saturday;17.01.2015;09:03:00;83%;06:51;:);Drank coffee:Drank tea;94;0
17.01.2015;23:55:00;Sunday;18.01.2015;07:47:00;93%;07:51;:);Drank coffee:Drank tea;57;0
18.01.2015;21:51:00;Monday;19.01.2015;05:04:00;58%;07:12;:);Drank coffee;67;0
19.01.2015;05:06:00;Tuesday;19.01.2015;06:20:00;16%;01:13;:);;58;0
19.01.2015;21:45:00;Wednesday;20.01.2015;05:45:00;75%;08:00;:|;Drank coffee:Drank tea:Worked out;54;0
20.01.2015;21:42:00;Thursday;21.01.2015;05:45:00;80%;08:02;:|;Drank coffee:Drank tea:Worked out;60;0
21.01.2015;22:34:00;Friday;22.01.2015;06:17:00;87%;07:42;:);Drank coffee:Drank tea:Worked out;75;0
25.01.2015;20:55:00;Saturday;26.01.2015;06:14:00;87%;09:19;:);Drank coffee;58;0
26.01.2015;22:36:00;Sunday;27.01.2015;06:11:00;83%;07:35;:|;Drank coffee:Drank tea:Stressful day;66;0
28.01.2015;21:43:00;Monday;29.01.2015;05:20:00;76%;07:37;:);Drank coffee:Drank tea:Stressful day;57;0
29.01.2015;22:23:00;Tuesday;30.01.2015;05:29:00;67%;07:05;:);Drank coffee:Drank tea:Worked out;63;0
31.01.2015;00:13:00;Wednesday;31.01.2015;08:17:00;93%;08:03;:);Drank coffee:Drank tea:Stressful day;62;0
01.02.2015;21:55:00;Thursday;02.02.2015;05:09:00;64%;07:13;:);Drank coffee:Drank tea;56;0
02.02.2015;22:30:00;Friday;03.02.2015;06:20:00;75%;07:49;:);Drank tea;61;0
03.02.2015;22:47:00;Saturday;04.02.2015;06:20:00;72%;07:32;:);Drank coffee:Drank tea;61;0
04.02.2015;23:03:00;Sunday;05.02.2015;06:10:00;70%;07:07;:);Drank tea:Worked out;57;0
08.02.2015;22:30:00;Monday;09.02.2015;06:48:00;89%;08:17;:);Drank coffee:Drank tea;61;0
09.02.2015;21:55:00;Tuesday;10.02.2015;06:13:00;85%;08:17;:);Drank coffee;58;0
10.02.2015;22:20:00;Wednesday;11.02.2015;06:20:00;59%;08:00;:);Drank coffee;60;0
11.02.2015;21:53:00;Thursday;12.02.2015;05:30:00;67%;07:36;:);Drank coffee:Drank tea:Worked out;57;0
12.02.2015;22:34:00;Friday;13.02.2015;05:24:00;69%;06:49;:);Drank coffee:Drank tea:Worked out;53;0
15.02.2015;22:16:00;Saturday;16.02.2015;05:20:00;74%;07:04;:);Drank coffee;60;0
17.02.2015;00:02:00;Sunday;17.02.2015;06:16:00;78%;06:13;:);Drank coffee:Drank tea:Worked out;65;0
17.02.2015;22:20:00;Monday;18.02.2015;05:05:00;70%;06:45;:);Drank coffee:Drank tea;55;0
19.02.2015;22:39:00;Tuesday;20.02.2015;06:20:00;77%;07:40;:);Drank coffee:Drank tea:Stressful day;66;0
21.02.2015;00:31:00;Wednesday;21.02.2015;07:32:00;72%;07:00;:);Drank coffee:Drank tea:Worked out;55;0
21.02.2015;22:54:00;Thursday;22.02.2015;07:49:00;92%;08:55;:);Drank coffee:Drank tea;56;0
22.02.2015;22:18:00;Friday;23.02.2015;06:20:00;87%;08:02;:);Drank coffee;60;0
24.02.2015;22:30:00;Saturday;25.02.2015;06:20:00;69%;07:49;:);Drank coffee:Drank tea;62;0
26.02.2015;01:22:00;Sunday;26.02.2015;07:16:00;65%;05:54;:|;Drank coffee:Drank tea;;0
26.02.2015;21:42:00;Monday;27.02.2015;05:37:00;90%;07:54;:);Drank tea:Worked out;61;0
01.03.2015;20:14:00;Tuesday;02.03.2015;05:44:00;88%;09:29;:);Drank coffee;62;0
03.03.2015;21:47:00;Wednesday;04.03.2015;05:30:00;61%;07:43;:);Drank coffee:Drank tea:Worked out;62;0
04.03.2015;20:53:00;Thursday;05.03.2015;06:13:00;54%;09:19;:);Drank coffee:Drank tea:Stressful day:Worked out;68;0
05.03.2015;22:29:00;Friday;06.03.2015;06:20:00;86%;07:50;:);Drank coffee:Drank tea;58;0
08.03.2015;22:54:00;Saturday;09.03.2015;06:20:00;69%;07:25;:);Drank coffee;61;0
09.03.2015;21:28:00;Sunday;10.03.2015;06:18:00;99%;08:50;:);Drank coffee:Drank tea;67;0
10.03.2015;22:17:00;Monday;11.03.2015;06:18:00;82%;08:01;:);Drank coffee:Drank tea;71;0
11.03.2015;21:39:00;Tuesday;12.03.2015;05:19:00;77%;07:40;:);Drank coffee:Drank tea;63;0
12.03.2015;21:44:00;Wednesday;13.03.2015;05:20:00;72%;07:36;:);Drank coffee:Drank tea:Worked out;60;0
15.03.2015;21:50:00;Thursday;16.03.2015;04:51:00;82%;07:00;:);;62;0
16.03.2015;21:48:00;Friday;17.03.2015;05:21:00;75%;07:32;:);Drank coffee:Drank tea;54;0
17.03.2015;23:57:00;Saturday;18.03.2015;08:01:00;91%;08:03;:);Drank coffee:Drank tea:Worked out;62;0
