Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2014-12-01 00:00,2014,12,01,00:00,-9.5,,-11.7,,84,,27,,17,,,,96.20,,,,-17,,NA
2014-12-01 01:00,2014,12,01,01:00,-9.8,,-11.8,,85,,27,,14,,,,96.12,,,,-16,,NA
2014-12-01 02:00,2014,12,01,02:00,-9.9,,-11.6,,87,,28,,19,,,,96.12,,,,-18,,NA
2014-12-01 03:00,2014,12,01,03:00,-9.7,,-11.3,,88,,26,,13,,,,96.02,,,,-16,,NA
2014-12-01 04:00,2014,12,01,04:00,-10.1,,-11.8,,87,,28,,22,,,,96.00,,,,-18,,NA
2014-12-01 05:00,2014,12,01,05:00,-10.2,,-12.0,,87,,28,,16,,,,95.97,,,,-17,,NA
2014-12-01 06:00,2014,12,01,06:00,-10.3,,-12.0,,88,,28,,17,,,,96.00,,,,-18,,NA
2014-12-01 07:00,2014,12,01,07:00,-10.5,,-12.6,,85,,27,,13,,,,95.99,,,,-17,,NA
2014-12-01 08:00,2014,12,01,08:00,-10.2,,-12.0,,86,,26,,13,,,,95.98,,,,-16,,NA
2014-12-01 09:00,2014,12,01,09:00,-10.2,,-12.3,,85,,27,,14,,,,95.97,,,,-17,,NA
2014-12-01 10:00,2014,12,01,10:00,-9.0,,-11.3,,84,,26,,12,,,,95.97,,,,-15,,NA
2014-12-01 11:00,2014,12,01,11:00,-8.3,,-11.4,,78,,26,,13,,,,95.93,,,,-14,,NA
2014-12-01 12:00,2014,12,01,12:00,-6.8,,-10.8,,73,,27,,13,,,,95.85,,,,-12,,NA
2014-12-01 13:00,2014,12,01,13:00,-6.2,,-11.2,,68,,22,,3,,,,95.77,,,,-8,,NA
2014-12-01 14:00,2014,12,01,14:00,-6.0,,-11.5,,65,,,,0,,,,95.72,,,,,,NA
2014-12-01 15:00,2014,12,01,15:00,-6.3,,-11.1,,68,,18,,3,,,,95.71,,,,-8,,NA
2014-12-01 16:00,2014,12,01,16:00,-7.7,,-11.1,,77,,17,,5,,,,95.74,,,,-10,,NA
